section,key,value
home,title,韓国ゲームクリエイターエコシステム
home,subtitle,HGE Creator Network
home,description,インディーゲーム開発者とクリエイターをつなぐプラットフォームです。一緒に成長し、より良いゲーム文化を築いていきましょう。
home,primary_button,クリエイターを探す
home,secondary_button,コラボレーション開始
statistics,creators_value,150+
statistics,creators_label,登録クリエイター
statistics,projects_value,80+
statistics,projects_label,成功したコラボレーション
statistics,companies_value,45+
statistics,companies_label,パートナーゲーム会社
coreValues,title,私たちの核となる価値
coreValues,subtitle,HGE Creatorが追求する核となる価値観です。
coreValues,value1_title,相互成長
coreValues,value1_description,開発者とクリエイターが共に成長できる環境を作ります
coreValues,value2_title,創造的なコラボレーション
coreValues,value2_description,様々な分野の専門家が創造的にコラボレーションできるよう支援します
coreValues,value3_title,透明なコミュニケーション
coreValues,value3_description,明確で透明なコミュニケーションを通じて信頼できる関係を築きます
coreValues,value4_title,持続可能なエコシステム
coreValues,value4_description,長期的に持続可能なゲームクリエイターエコシステムを構築します
categories,title,クリエイターカテゴリー
categories,subtitle,様々な分野の専門クリエイターに出会いましょう。
categories,linkText,詳細を見る
cta,title,今すぐ始める
cta,description,HGE Creatorと一緒にあなたのゲームを成功に導きましょう。
header,logo,HGE Creator
header,nav_home,ホーム
header,nav_creators,クリエイター
header,nav_collaboration,コラボレーションプロセス
header,nav_success_stories,成功事例
header,nav_participate,参加方法
header,menu_open,メニューを開く
footer,logo,HGE Creator
footer,description,インディーゲーム開発者と260名を超える多様なクリエイターをつなぎ、ゲーム業界の成長と発展に貢献します。
footer,quick_links_title,クイックリンク
footer,quick_link_creators,クリエイター
footer,quick_link_collaboration,コラボレーションプロセス
footer,quick_link_success_stories,成功事例
footer,quick_link_participate,参加方法
footer,contact_title,お問い合わせ
footer,contact_email,Eメール: contact@hgecreator.com
footer,contact_phone,電話: 02-1234-5678
footer,contact_address,住所: ソウル市江南区テヘラン路123
footer,copyright,© 2024 HGE Creator. All rights reserved.
footer,privacy_policy,プライバシーポリシー
footer,terms_of_service,利用規約
collaboration,title,コラボレーションプロセス
collaboration,subtitle,体系的で専門的なコラボレーションプロセスで成功的なゲームプロモーションを支援します。
collaboration,process_title,5段階コラボレーションプロセス
collaboration,process_subtitle,簡単な登録から成果分析まで、すべてのプロセスを体系的に管理します。
collaboration,benefits_title,コラボレーション特典
collaboration,benefits_subtitle,HGE Creatorとのコラボレーションで得られる様々な特典です。
