page,key,value
home,title,Korean Game Creator Ecosystem
home,subtitle,HGE Creator Network
home,description,A platform connecting indie game developers with creators. Let's grow together and build a better gaming culture.
home,primary_button,Find Creators
home,secondary_button,Start Collaboration
home,statistics_creators_value,150+
home,statistics_creators_label,Registered Creators
home,statistics_projects_value,80+
home,statistics_projects_label,Successful Collaborations
home,statistics_companies_value,45+
home,statistics_companies_label,Partner Game Companies
home,core_values_title,Our Core Values
home,core_values_subtitle,The core values that HGE Creator pursues.
home,core_values_value1_title,Mutual Growth
home,core_values_value1_description,Create an environment where developers and creators can grow together
home,core_values_value2_title,Creative Collaboration
home,core_values_value2_description,Support creative collaboration among experts from various fields
home,core_values_value3_title,Transparent Communication
home,core_values_value3_description,Build trustworthy relationships through clear and transparent communication
home,core_values_value4_title,Sustainable Ecosystem
home,core_values_value4_description,Build a long-term sustainable game creator ecosystem
home,categories_title,Creator Categories
home,categories_subtitle,Meet professional creators from various fields.
home,categories_link_text,Learn More
home,cta_title,Start Now
home,cta_description,Lead your game to success with HGE Creator.
header,logo,HGE Creator
header,nav_home,Home
header,nav_creators,Creators
header,nav_collaboration,Collaboration Process
header,nav_success_stories,Success Stories
header,nav_participate,How to Participate
header,menu_open,Open Menu
footer,logo,HGE Creator
footer,description,Connecting indie game developers with 260+ diverse creators to contribute to the growth and development of the gaming industry.
footer,quick_links_title,Quick Links
footer,quick_link_creators,Creators
footer,quick_link_collaboration,Collaboration Process
footer,quick_link_success_stories,Success Stories
footer,quick_link_participate,How to Participate
footer,contact_title,Contact
footer,contact_email,Email: contact@hgecreator.com
footer,contact_phone,Phone: 02-1234-5678
footer,contact_address,Address: 123 Teheran-ro, Gangnam-gu, Seoul
footer,copyright,© 2024 HGE Creator. All rights reserved.
footer,privacy_policy,Privacy Policy
footer,terms_of_service,Terms of Service
collaboration,title,Collaboration Process
collaboration,subtitle,Supporting successful game promotion through systematic and professional collaboration processes.
collaboration,process_title,5-Step Collaboration Process
collaboration,process_subtitle,We systematically manage everything from simple registration to performance analysis.
collaboration,benefits_title,Collaboration Benefits
