page,key,value
home,title,한국 게임 크리에이터 생태계
home,subtitle,HGE Creator Network
home,description,인디 게임 개발자와 크리에이터를 연결하는 플랫폼입니다. 함께 성장하고 더 나은 게임 문화를 만들어가세요.
home,primary_button,크리에이터 찾기
home,secondary_button,협업 시작하기
home,statistics_creators_value,350+
home,statistics_creators_label,등록된 크리에이터
home,statistics_projects_value,80+
home,statistics_projects_label,성공한 협업 프로젝트
home,statistics_companies_value,45+
home,statistics_companies_label,파트너 게임 회사
home,core_values_title,우리의 핵심 가치
home,core_values_subtitle,HGE Creator가 추구하는 가치를 소개합니다.
home,core_values_value1_title,상호 성장
home,core_values_value1_description,개발자와 크리에이터가 함께 성장할 수 있는 환경을 만듭니다
home,core_values_value2_title,창의적 협업
home,core_values_value2_description,다양한 분야의 전문가들이 창의적으로 협업할 수 있도록 지원합니다
home,core_values_value3_title,투명한 소통
home,core_values_value3_description,명확하고 투명한 소통을 통해 신뢰할 수 있는 관계를 구축합니다
home,core_values_value4_title,지속가능한 생태계
home,core_values_value4_description,장기적으로 지속가능한 게임 크리에이터 생태계를 구축합니다
home,categories_title,크리에이터 카테고리
home,categories_subtitle,다양한 분야의 전문 크리에이터들을 만나보세요.
home,categories_link_text,자세히 보기
home,cta_title,지금 바로 시작하세요
home,cta_description,HGE Creator와 함께 여러분의 게임을 성공으로 이끌어보세요.
header,logo,HGE Creator
header,nav_home,홈
header,nav_creators,크리에이터
header,nav_collaboration,협업 프로세스
header,nav_success_stories,성공 사례
header,nav_participate,참여 방법
header,menu_open,메뉴 열기
footer,logo,HGE Creator
footer,description,인디 게임 개발자와 350명의 다양한 크리에이터를 연결하여 게임 업계의 성장과 발전에 기여합니다.
footer,quick_links_title,빠른 링크
footer,quick_link_creators,크리에이터
footer,quick_link_collaboration,협업 프로세스
footer,quick_link_success_stories,성공 사례
footer,quick_link_participate,참여 방법
footer,contact_title,연락처
footer,contact_email,이메일: contact@hgecreator.com
footer,contact_phone,전화: 
footer,contact_address,주소: 
footer,copyright,© 2025 HGE Creator. All rights reserved.
footer,privacy_policy,개인정보처리방침
footer,terms_of_service,이용약관
collaboration,title,협업 프로세스
collaboration,subtitle,체계적이고 전문적인 협업 프로세스로 성공적인 게임 홍보를 지원합니다.
collaboration,process_title,5단계 협업 프로세스
collaboration,process_subtitle,간단한 등록부터 성과 분석까지, 모든 과정을 체계적으로 관리합니다.
collaboration,benefits_title,협업 혜택
collaboration,benefits_subtitle,HGE Creator와의 협업으로 얻을 수 있는 다양한 혜택들입니다.
collaboration,cta_title,지금 바로 협업을 시작하세요
collaboration,cta_subtitle,전문적인 협업 프로세스로 여러분의 게임을 성공으로 이끌어드리겠습니다.
collaboration,cta_button,협업 신청하기
collaboration,step1_title,프로젝트 등록
collaboration,step1_description,게임 정보와 필요한 크리에이터 유형을 등록해주세요.
